サブプロット,階層,種名,DK2000,被度2007,被度2013,被度2019,被度2025,date,photo
12,C,チゴユリ,0,0,1,0.5,0.1,2025/08/18,
12,C,ツルアリドオシ,2,2,3,3,2,2025/08/18,
12,C,ツルリンドウ,0,0.5,0,0,,2025/08/18,
12,C,ハイイヌツゲ,0.5,4,3,2,2,2025/08/18,
12,C,ヒメモチ,0,0,1,1,0.2,2025/08/18,
12,C,ホソバナライシダ,0,1,1,0,,2025/08/18,
12,C,ミヤマウズラ,0,0.5,1,0,0.1,2025/08/18,
12,C,ミヤマカンスゲ,0,20,30,20,10,2025/08/18,
12,C,ヤマイヌワラビ,0,0.5,0.5,0.5,,2025/08/18,
12,C,ヤマソテツ,0,0.5,5,8,3,2025/08/18,
12,C,ユキザサ,2,2,1,0.5,0.1,2025/08/18,
12,S,チシマザサ,8,0.5,40,30,17,2025/08/18,
12,,ツクバネソウ,,,,,0.1,2025/08/18,
12,,タムシバ,,,,,0.1,2025/08/18,
13,B2,アオダモ,0,2,2,2,0.2,2025/08/18,
13,B2,イタヤカエデ,0,1,0.5,0.5,0.1,2025/08/18,
13,B2,ウリハダカエデ,0.5,5,1,1,3,2025/08/18,
13,B2,ウワミズザクラ,4,0,0,2,0.2,2025/08/18,
13,B2,オオカメノキ,5,10,25,20,15,2025/08/18,
13,B2,オオバクロモジ,4,10,10,25,6,2025/08/18,
13,B2,コシアブラ,0.5,1,5,14,5,2025/08/18,
13,B2,コマユミ,0.5,0,0,0.2,,2025/08/18,
13,B2,サワフタギ,0,0,1,1,1,2025/08/18,
13,B2,ツノハシバミ,0.5,0,0,0,0.2,2025/08/18,
13,B2,トチノキ,0,0.5,1,0.2,,2025/08/18,
13,B2,ナナカマド,0,0,0.5,1,0.5,2025/08/18,
13,B2,ハウチワカエデ,0,5,1,2,0.5,2025/08/18,
13,B2,ブナ,0,0,40,5,5,2025/08/18,
13,B2,ホオノキ,0,1,10,4,2,2025/08/18,
13,B2,マユミ,3,0,0,0,,2025/08/18,
13,B2,ミズキ,3,0,0,0,,2025/08/18,
13,B2,ヤマウルシ,0.5,1,1,5,2,2025/08/18,
13,C,ウド,0,0.5,0,0,,2025/08/18,
13,C,エンレイソウ,0,0,0.5,0,,2025/08/18,
13,C,オシダ,0,0.5,1,1,,2025/08/18,
13,C,コカンスゲ,4,0,0,0,,2025/08/18,
13,C,サワダツ,0,0,0.5,0,,2025/08/18,
13,C,シノブカグマ,0,0.5,0.5,0,,2025/08/18,
13,C,シラネワラビ,4,5,10,10,5,2025/08/18,
13,C,タチシオデ,0.5,0,0,0,,2025/08/18,
13,C,タニギキョウ,0,0,0.5,0.2,,2025/08/18,
13,C,チゴユリ,0.5,0,0.5,0.1,,2025/08/18,
13,C,ツクバネソウ,0,0.5,0,0,0.1,2025/08/18,
13,C,ツルアリドオシ,0.5,5,0.5,2,2,2025/08/18,
13,C,ヒメカンアオイ,0.5,0,0,0,,2025/08/18,
13,C,ヒメモチ,0,0.5,0.5,0.5,1,2025/08/18,
13,C,ヒロハユキザサ,0,0,0.5,0.5,,2025/08/18,
13,C,ホソバナライシダ,0,1,1,0.5,0.1,2025/08/18,
13,C,ミヤマウズラ,0,0,1,0,,2025/08/18,
13,C,ミヤマカンスゲ,0,8,15,3,5,2025/08/18,
13,C,ヤマイヌワラビ,0,0.5,2,0.5,0.1,2025/08/18,
13,C,ヤマソテツ,2,3,5,4,4,2025/08/18,
13,C,ヤマドリゼンマイ,0,0,0,1,,2025/08/18,
13,C,ユキザサ,3,2,0.5,1,0.1,2025/08/18,
13,S,チシマザサ,6,25,30,20,8,2025/08/18,
13,,リョウメンシダ,,,,,0.1,2025/08/18,00:14:36
13,,ツルリンドウ,,,,,0.1,2025/08/18,
13,,ノリウツギ,,,,,0.1,2025/08/18,
14,B2,アクシバ,0,0,1,2,1.5,2025/08/18,
14,B2,イタヤカエデ,0,0,0.5,0,,2025/08/18,
14,B2,ウリハダカエデ,0.5,8,1,5,4,2025/08/18,
14,B2,ウワミズザクラ,5,0,2,2,1,2025/08/18,
14,B2,オオイタヤメイゲツ,0,0,1,0,,2025/08/18,
14,B2,オオカメノキ,4,5,5,10,10.5,2025/08/18,
14,B2,オオバクロモジ,5,6,1,3,5,2025/08/18,
14,B2,コシアブラ,0,0,1,1,0.5,2025/08/18,
14,B2,コマユミ,0,0,0.5,0.5,0.2,2025/08/18,
14,B2,スノキ,0,1,1,0,,2025/08/18,
14,B2,タムシバ,0,0,1,0.5,,2025/08/18,
14,B2,ツリバナ,0,0,0.5,0.2,,2025/08/18,
14,B2,トチノキ,0,0,0.5,0.5,0.1,2025/08/18,
14,B2,ハウチワカエデ,0,0,1,1,0.1,2025/08/18,
14,B2,ヒメアオキ,3,2,1,1,5,2025/08/18,
14,B2,ブナ,6,25,20,8,9,2025/08/18,
14,B2,ミズキ,2,0.5,0.5,1,0.1,2025/08/18,
14,B2,ヤマウルシ,0,3,1,2,0.1,2025/08/18,
14,C,エンレイソウ,0,0,0,0.2,0.1,2025/08/18,
14,C,オシダ,0.5,3,1,0,,2025/08/18,
14,C,カメバヒキオコシ,0.5,0.5,0.5,1,0.2,2025/08/18,
14,C,コカンスゲ,5,0,0,0,,2025/08/18,
14,C,サンカヨウ,0,0.5,0,0,,2025/08/18,
14,C,シラネアオイ,0,18,5,0.1,,2025/08/18,
14,C,シラネワラビ,5,0,7,10,4,2025/08/18,
14,C,ジュウモンジシダ,0,0,0.5,0,,2025/08/18,
14,C,タケシマラン,0,0,0.5,0.5,0.1,2025/08/18,
14,C,タチシオデ,0,0.5,0,0,0.1,2025/08/18,
14,C,タニギキョウ,0,0,0.5,0.5,0.1,2025/08/18,
14,C,チゴユリ,0,0,0.5,0.5,0.1,2025/08/18,
14,C,ツルアリドオシ,0,0,0,1,,2025/08/18,
14,C,ツルリンドウ,0,0,1,0,,2025/08/18,
14,C,ハイイヌツゲ,0.5,0,0,0,,2025/08/18,
14,C,ヒメモチ,0,0.5,0.5,14,3,2025/08/18,
14,C,ホソバナライシダ,0,0.5,0.5,1,,2025/08/18,
14,C,ミヤマウズラ,0,0.5,0,0,,2025/08/18,
14,C,ミヤマカンスゲ,0,8,15,20,5,2025/08/18,
14,C,ミヤマシキミ,0,0.5,0,0,,2025/08/18,
14,C,ヤマイヌワラビ,0,0,0.5,1,,2025/08/18,
14,C,ヤマソテツ,5,10,6,10,5,2025/08/18,
14,C,ユキザサ,4,4,0.5,0.5,0.1,2025/08/18,
14,S,チシマザサ,8,50,10,10,10,2025/08/18,
14,,オオバタケシマラン,,,,,0.1,2025/08/18,00:14:21
14,,ツクバネソウ,,,,,0.1,2025/08/18,
14,,ハイイヌガヤ,,,,,0.1,2025/08/18,
14,,ヤマシユキザサ,,,,,0.1,2025/08/18,
15,B2,アオダモ,0,0,0.1,0.1,0.1,2025/08/18,
15,B2,イタヤカエデ,0,0,0.1,0.2,,2025/08/18,
15,B2,ウリハダカエデ,0,1,0.1,2,6.5,2025/08/18,
15,B2,ウワミズザクラ,0,6,5,3,1,2025/08/18,
15,B2,オオカメノキ,5,5,7,4,5,2025/08/18,
15,B2,オオバクロモジ,4,4,4,3,3,2025/08/18,
15,B2,コシアブラ,0,0,0.1,0.5,0.3,2025/08/18,
15,B2,コマユミ,0,0.5,0.1,0.2,0.1,2025/08/18,
15,B2,ツノハシバミ,0,0.5,0,0,,2025/08/18,
15,B2,ツリバナ,0,0,2,1,0.2,2025/08/18,
15,B2,トチノキ,0,0.5,0.2,0.5,0.5,2025/08/18,
15,B2,ヒメアオキ,0,0.5,0.5,1,0.5,2025/08/18,
15,B2,ブナ,6,20,10,16,15,2025/08/18,
15,B2,ホオノキ,0,1,1,1,0.2,2025/08/18,
15,B2,ミズキ,4,0,0,0,0.1,2025/08/18,
15,B2,ヤマウルシ,0.5,0,0,0,,2025/08/18,
15,C,オシダ,0,0.5,0,1,,2025/08/18,
15,C,カメバヒキオコシ,0.5,0.5,1,3,,2025/08/18,
15,C,コカンスゲ,5,0,0,0,,2025/08/18,
15,C,サカゲイノデ,0,0.5,2,0.5,,2025/08/18,
15,C,サラシナショウマ,0,0.5,0,0,,2025/08/18,
15,C,シラネワラビ,4,10,5,15,15,2025/08/18,
15,C,ジュウモンジシダ,0,0.5,0,0,,2025/08/18,
15,C,タケシマラン,0,1,0.1,0.5,0.1,2025/08/18,
15,C,タチシオデ,0,0.5,0.1,0.7,,2025/08/18,
15,C,タニギキョウ,0,0,0,0.5,0.1,2025/08/18,
15,C,ツクバネソウ,0.5,0,0,0,,2025/08/18,
15,C,ツルアリドオシ,0.5,0.5,0,0,0.2,2025/08/18,
15,C,ツルリンドウ,0,0.5,0,0.2,0.1,2025/08/18,
15,C,テンニンソウ,0,0,0,0.5,,2025/08/18,
15,C,トチバニンジン,0,0,0.2,0.2,0.1,2025/08/18,
15,C,ハイイヌツゲ,2,0,0,0,,2025/08/18,
15,C,ホウチャクソウ,1,0,0,0.5,,2025/08/18,
15,C,ミヤマカンスゲ,0,10,6,6,7,2025/08/18,
15,C,ミヤマシキミ,0,0.5,0,0,,2025/08/18,
15,C,ヤマイヌワラビ,0,0.5,0.2,1,,2025/08/18,
15,C,ヤマソテツ,3,3,8,6,4,2025/08/18,
15,C,ユキザサ,3,3,0.5,0.5,0.1,2025/08/18,
15,S,チシマザサ,8,50,20,20,8,2025/08/18,
15,,ミヤマイタチシダ,,,,,0.1,2025/08/18,
15,,チゴユリ,,,,,0.1,2025/08/18,
15,,ノリウツギ,,,,,0.1,2025/08/18,
15,,ヒメモチ,,,,,0.1,2025/08/18,
15,,ハウチワカエデ,,,,,1,2025/08/18,
16,B2,アオダモ,0,3,2,2,2.5,2025/08/19,
16,B2,イタヤカエデ,0,0.5,0.1,0.1,,2025/08/19,
16,B2,ウリハダカエデ,0.5,4,1,0.2,1,2025/08/19,
16,B2,ウワミズザクラ,4,0,0,0,1.5,2025/08/19,
16,B2,オオカメノキ,6,18,12,13,10,2025/08/19,
16,B2,オオバクロモジ,4,5,5,4,1.5,2025/08/19,
16,B2,クサアジサイ,0.5,5,0,0,,2025/08/19,
16,B2,コシアブラ,0.5,0,0.5,0.1,0.2,2025/08/19,
16,B2,コマユミ,1,0,0,0.2,,2025/08/19,
16,B2,ツノハシバミ,0.5,0,0,2,,2025/08/19,
16,B2,トチノキ,0,0,0.2,0.1,0.1,2025/08/19,
16,B2,ナナカマド,0,0.5,0,0.1,,2025/08/19,
16,B2,ノリウツギ,0,0.5,0.5,0.5,0.5,2025/08/19,
16,B2,ハイイヌガヤ,3,2,2,0.2,1.5,2025/08/19,
16,B2,ヒメアオキ,3,0,1,0.2,0.5,2025/08/19,
16,B2,ブナ,0,4,3,2,1.5,2025/08/19,
16,B2,マユミ,4,0,0,0,,2025/08/19,
16,B2,ヤマアジサイ,0,0.5,0.5,0.2,,2025/08/19,
16,B2,ヤマウルシ,0,3,1,1,0.2,2025/08/19,
16,B2,ヤマモミジ,0,5,4,2,1.5,2025/08/19,
16,C,オシダ,0,0.5,1,0.5,,2025/08/19,
16,C,カメバヒキオコシ,0,1,1,0.2,,2025/08/19,
16,C,コカンスゲ,5,0,0,0,,2025/08/19,
16,C,シラネワラビ,6,20,8,10,13,2025/08/19,
16,C,タケシマラン,0,0,0.1,0,,2025/08/19,
16,C,ツルアリドオシ,0.5,3,0.2,0.1,1,2025/08/19,
16,C,テンニンソウ,0,0,7,7,6,2025/08/19,
16,C,トチバニンジン,0,0.5,0,0,,2025/08/19,
16,C,ハイイヌツゲ,1,0.5,0.2,2,0.2,2025/08/19,
16,C,ヒメモチ,0,0.5,0.2,0.2,0.2,2025/08/19,
16,C,ホソバナライシダ,0,0.5,2,0,0.3,2025/08/19,
16,C,ミヤマイボタ,0,0.5,0.5,0.2,0.1,2025/08/19,00:10:44
16,C,ミヤマウズラ,0,0.5,0,0,0.1,2025/08/19,
16,C,ミヤマカンスゲ,0,10,15,10,10,2025/08/19,
16,C,ヤマイヌワラビ,0,0.5,0.5,0.1,0.1,2025/08/19,
16,C,ヤマソテツ,3,3,3,3,5,2025/08/19,
16,C,ヤマドリゼンマイ,0,0.5,0,0.3,,2025/08/19,
16,C,ユキザサ,0.5,0.5,0,0,0.1,2025/08/19,
16,S,チシマザサ,7,40,10,10,9,2025/08/19,
16,,ツルリンドウ,,,,,0.1,2025/08/19,
16,,タニギハョウ,,,,,0.1,2025/08/19,
17,B2,アオダモ,0,4,4,5,2,2025/08/19,
17,B2,イタヤカエデ,0,0,0,0.5,,2025/08/19,
17,B2,ウリハダカエデ,0,4,4,3.4,1,2025/08/19,
17,B2,ウワミズザクラ,3,2,2,1.5,1,2025/08/19,
17,B2,オオカメノキ,6,10,25,17,13,2025/08/19,
17,B2,オオバクロモジ,4,6,4,6,4,2025/08/19,
17,B2,コシアブラ,0,0.5,1,1,0.5,2025/08/19,
17,B2,コマユミ,2,0,0,0,0.1,2025/08/19,
17,B2,ツノハシバミ,0.5,0.5,1,0,,2025/08/19,
17,B2,ツリバナ,0,0,0.2,0.5,,2025/08/19,
17,B2,トチノキ,0,0,0,0.5,,2025/08/19,
17,B2,ノリウツギ,0.5,0.5,0.5,0.5,0.5,2025/08/19,
17,B2,ハイイヌガヤ,3,2,0.5,1,0.5,2025/08/19,
17,B2,ハウチワカエデ,0,5,8,3,0.5,2025/08/19,
17,B2,ヒメアオキ,1,2,3,3,1,2025/08/19,
17,B2,ブナ,0,4,4,1.5,1,2025/08/19,
17,B2,マユミ,4,0,0,0,,2025/08/19,
17,B2,ミズキ,1,0,0,0,,2025/08/19,
17,B2,ヤマウルシ,0,1,3,4,0.5,2025/08/19,
17,C,コカンスゲ,5,0,0,0,,2025/08/19,
17,C,シラネワラビ,5,15,15,18,14,2025/08/19,
17,C,チゴユリ,0.5,0.5,0,0.5,0.2,2025/08/19,
17,C,ツルアリドオシ,1,1,0.1,0.5,,2025/08/19,
17,C,ツルリンドウ,0,0.5,0,0,,2025/08/19,
17,C,ハイイヌツゲ,0,2,0.5,1,1,2025/08/19,
17,C,ヒメモチ,0,0,0.1,0.5,1,2025/08/19,
17,C,ミヤマカンスゲ,0,10,20,5,5,2025/08/19,
17,C,ヤマイヌワラビ,0,0.5,0,0,,2025/08/19,
17,C,ヤマソテツ,3,3,5,7,1,2025/08/19,
17,C,ユキザサ,1,1,0.1,0.5,0.2,2025/08/19,00:10:59
17,S,チシマザサ,8,40,20,15,10,2025/08/19,
17,,ミヤマウズラ,,,,,0.1,2025/08/19,
17,,エンレイソウ,,,,,0.1,2025/08/19,
17,,タニギハョウ,,,,,0.1,2025/08/19,
18,B2,アオダモ,0,0,1,1,0.5,2025/08/19,
18,B2,イタヤカエデ,1,1,0.2,0,,2025/08/19,
18,B2,ウリハダカエデ,0,3,2,6,8,2025/08/19,
18,B2,ウワミズザクラ,4,4,3,5,,2025/08/19,
18,B2,オオカメノキ,5,15,20,14,15,2025/08/19,
18,B2,オオバクロモジ,5,15,15,13,8,2025/08/19,
18,B2,コシアブラ,1,0,1,3,0.5,2025/08/19,
18,B2,ツノハシバミ,0,0,0.1,0,,2025/08/19,
18,B2,ナナカマド,0,1,0.2,0.5,0.5,2025/08/19,
18,B2,ノリウツギ,0,0.5,1,1,1,2025/08/19,
18,B2,ハウチワカエデ,0,0,0,0.1,0.1,2025/08/19,
18,B2,ヒメアオキ,4,4,4,5,1,2025/08/19,
18,B2,ブナ,4,5,2,1,0.5,2025/08/19,
18,B2,ミズキ,1,0,0,0,,2025/08/19,
18,B2,ヤマウルシ,0,5,6,6,1,2025/08/19,
18,C,イワカガミ,0.5,0,0,0,,2025/08/19,
18,C,オシダ,0,0.5,0.5,0,,2025/08/19,
18,C,コカンスゲ,5,0,0,0,,2025/08/19,
18,C,シラネワラビ,6,18,25,25,20,2025/08/19,
18,C,タチシオデ,0.5,0.5,0.2,0.1,0.1,2025/08/19,
18,C,タニギキョウ,0,0.5,0.1,0.1,,2025/08/19,
18,C,ツルアリドオシ,0,1,0.5,0.5,0.5,2025/08/19,
18,C,ツルリンドウ,0,0.5,0,0,,2025/08/19,
18,C,ハイイヌツゲ,1,0,0,0,,2025/08/19,
18,C,ヒメモチ,0.5,1,2,2,1.5,2025/08/19,
18,C,ミヤマウズラ,0,0.5,0.2,0.1,0.1,2025/08/19,
18,C,ミヤマカンスゲ,0,20,10,10,1,2025/08/19,
18,C,ヤマソテツ,2,1,5,5,2,2025/08/19,
18,C,ユキザサ,1,0.5,0.1,0.2,0.1,2025/08/19,
18,S,チシマザサ,9,0,0,5,10,2025/08/19,
18,,チゴユリ,,,,,0.1,2025/08/19,
18,,ツリバナ,,,,,0.1,2025/08/19,
19,B2,アオダモ,0,0.5,0,0,,2025/08/19,
19,B2,ウリハダカエデ,0.5,5,2,4,3,2025/08/19,
19,B2,ウワミズザクラ,4,3,3,2,1.5,2025/08/19,
19,B2,オオカメノキ,5,10,10,11,6,2025/08/19,
19,B2,オオバクロモジ,3,5,5,12,2.5,2025/08/19,
19,B2,コシアブラ,0,0.5,1,4,1,2025/08/19,
19,B2,コマユミ,2,0,0,0,,2025/08/19,
19,B2,サワフタギ,5,10,7,7,3,2025/08/19,
19,B2,タニウツギ,0,2,2,0.5,0.5,2025/08/19,
19,B2,ツノハシバミ,0.5,0.5,0,2,1.5,2025/08/19,
19,B2,ツリバナ,0,0,0.5,0.2,0.2,2025/08/19,
19,B2,トチノキ,0,0.5,0,0,,2025/08/19,
19,B2,ナナカマド,0,0.5,1,2,0.1,2025/08/19,
19,B2,ノリウツギ,0,0,0.5,0.5,0.1,2025/08/19,
19,B2,ハイイヌガヤ,0,1,0,0,,2025/08/19,
19,B2,ヒメアオキ,0,0,1,1,1,2025/08/19,
19,B2,ブナ,5,10,20,4,5,2025/08/19,
19,B2,ミズキ,1,0,0,0,,2025/08/19,
19,C,アカミノルイヨウショウマ,0.5,0,0,0,,2025/08/19,
19,C,エンレイソウ,0,0.5,0,0,,2025/08/19,
19,C,コカンスゲ,4,0,0,0,,2025/08/19,
19,C,シラネワラビ,6,15,10,14,10,2025/08/19,
19,C,タニギキョウ,0.5,0.5,0,0,,2025/08/19,
19,C,チゴユリ,0,0,0,0.1,,2025/08/19,
19,C,ツルアリドオシ,1,0,0,0,,2025/08/19,
19,C,ハイイヌツゲ,0.5,0,0,0,,2025/08/19,
19,C,ヒメモチ,0,0,0.2,1,1,2025/08/19,
19,C,マイヅルソウ,0,0.5,0,0,,2025/08/19,
19,C,ミヤマカンスゲ,0,15,10,5,4,2025/08/19,
19,C,ミヤマシキミ,0,0.5,0,0,,2025/08/19,
19,C,ヤマイヌワラビ,0,0.5,0,0,,2025/08/19,
19,C,ヤマソテツ,0.5,1,2,2,1,2025/08/19,
19,C,ユキザサ,4,3,0.1,1,0.2,2025/08/19,
19,S,チシマザサ,9,60,12,10,8,2025/08/19,
19,,ハウチワカエデ,,,,,0.5,2025/08/19,
20,B2,アオダモ,0,0,0.2,0.2,0.2,2025/08/19,
20,B2,ウリハダカエデ,0,4,1,0.6,0.5,2025/08/19,
20,B2,ウワミズザクラ,4,1,1,1,1.5,2025/08/19,
20,B2,オオカメノキ,5,10,10,10,7,2025/08/19,
20,B2,オオバクロモジ,1,2,1,2,1,2025/08/19,
20,B2,コシアブラ,0.5,0,0.1,0.5,0.2,2025/08/19,
20,B2,コマユミ,0,0,0.1,0.1,0.1,2025/08/19,00:11:44
20,B2,サワフタギ,5,15,2,4,2,2025/08/19,
20,B2,タムシバ,0,0,0,0.2,0.5,2025/08/19,
20,B2,ツノハシバミ,0,0,0.2,0,,2025/08/19,
20,B2,トチノキ,0,0,0,0.2,,2025/08/19,
20,B2,ナナカマド,0,1,2,2,2.5,2025/08/19,
20,B2,ハイイヌガヤ,0,0,0.5,2,0.6,2025/08/19,
20,B2,ハウチワカエデ,0,0,2,2,0.1,2025/08/19,
20,B2,ヒメアオキ,0,0,3,4,4,2025/08/19,
20,B2,ブナ,0,4,8,11,4,2025/08/19,
20,B2,マユミ,1,0,0,0.1,,2025/08/19,
20,B2,ミズキ,1,0,0.5,4,1,2025/08/19,
20,B2,ヤマモミジ,0,0.5,0,0.2,,2025/08/19,
20,C,イボタノキ,0,0,0.2,0.3,,2025/08/19,
20,C,エンレイソウ,0,0.5,0,0.5,,2025/08/19,
20,C,コカンスゲ,5,0,0,0,,2025/08/19,
20,C,シラネワラビ,5,16,25,24,20,2025/08/19,
20,C,タケシマラン,0,0.5,0.1,0,,2025/08/19,
20,C,タチシオデ,0,0.5,0,0.1,0.1,2025/08/19,
20,C,タニギキョウ,0,0.5,0,0,,2025/08/19,
20,C,チゴユリ,0.5,0.5,0,0.1,0.1,2025/08/19,
20,C,ツクバネソウ,0.5,0,0,0.2,,2025/08/19,
20,C,ツルアリドオシ,0.5,0,0,0,,2025/08/19,
20,C,ツルリンドウ,0,0,0,0.1,,2025/08/19,
20,C,ハイイヌツゲ,3,0.5,0,0,,2025/08/19,
20,C,ヒメモチ,0,2,0.5,0.5,0.5,2025/08/19,
20,C,ヒロバスゲ,0,0,0.1,0,,2025/08/19,
20,C,ホウチャクソウ,0.5,0,0,0,,2025/08/19,
20,C,マイヅルソウ,0,0.5,0,0,,2025/08/19,
20,C,ミヤマカンスゲ,0,8,3,2,5,2025/08/19,
20,C,ヤマイヌワラビ,0,0.5,0.5,0.2,,2025/08/19,
20,C,ヤマソテツ,3,3,3,7,3,2025/08/19,
20,C,ユキザサ,4,6,0.5,2,0.5,2025/08/19,
20,S,チシマザサ,9,85,10,20,12,2025/08/19,
21,B2,アオダモ,0,0.5,0.2,0.2,1,2025/08/19,
21,B2,イタヤカエデ,0.5,0.5,0.2,0.2,0.1,2025/08/19,
21,B2,ウリハダカエデ,0.5,0.5,0,0.5,0.2,2025/08/19,
21,B2,ウワミズザクラ,0,4,0,6,0.2,2025/08/19,
21,B2,オオカメノキ,6,35,20,18,10,2025/08/19,
21,B2,オオバクロモジ,2,5,3,2,2,2025/08/19,
21,B2,クサアジサイ,0,8,0,0,,2025/08/19,
21,B2,コシアブラ,0,0,0.1,0.2,1,2025/08/19,
21,B2,コマユミ,3,0.5,0.5,0.5,0.1,2025/08/19,
21,B2,ツリバナ,0,0,1,0.2,0.1,2025/08/19,
21,B2,トチノキ,0,0.5,0.2,0.1,0.5,2025/08/19,
21,B2,ナナカマド,0,0.5,0.1,0,,2025/08/19,
21,B2,ハイイヌガヤ,0,5,1,1,1,2025/08/19,
21,B2,ハウチワカエデ,0,5,0,0,,2025/08/19,
21,B2,ヒメアオキ,0,0,4,3,2,2025/08/19,
21,B2,ブナ,4,5,2,3,0.5,2025/08/19,
21,B2,マユミ,4,0,0,0,,2025/08/19,
21,B2,ミズキ,4,0,0.2,0.58,0.2,2025/08/19,
21,B2,ヤマモミジ,0,0,0.1,5,4,2025/08/19,
21,C,エンレイソウ,0,0,0,0.1,0.1,2025/08/19,
21,C,カメバヒキオコシ,0,0,1,0.5,,2025/08/19,
21,C,コカンスゲ,4,0,0,0,,2025/08/19,
21,C,サカゲイノデ,0,0.5,0,0,0.5,2025/08/19,00:13:44
21,C,シラネワラビ,6,20,15,13,9,2025/08/19,
21,C,スミレサイシン,0,0,0.1,0.1,,2025/08/19,
21,C,タケシマラン,0,0.5,0,0,,2025/08/19,
21,C,タチシオデ,0.5,0,0,0,0.1,2025/08/19,
21,C,チゴユリ,0.5,0.5,0,0,,2025/08/19,
21,C,テンニンソウ,0,0,4,3,0.1,2025/08/19,
21,C,ハイイヌツゲ,0.5,0.5,0.2,0.1,1,2025/08/19,
21,C,ヒメモチ,0,0,0.2,0.1,0.1,2025/08/19,
21,C,ミヤマカンスゲ,0,10,15,10,9,2025/08/19,
21,C,ミヤマシキミ,0,1,0,0,,2025/08/19,
21,C,ヤマイヌワラビ,0,0.5,1,0.2,0.1,2025/08/19,
21,C,ヤマソテツ,4,5,10,12,9.5,2025/08/19,
21,C,ヤマドリゼンマイ,0,0,0.5,1,,2025/08/19,
21,C,ユキザサ,0.5,0.5,0,0.1,,2025/08/19,
21,S,チシマザサ,8,60,15,10,6,2025/08/19,
21,,オシダ,,,,,1,2025/08/19,
21,,シダ?,,,,,0.1,2025/08/19,00:13:41
21,,ジュウモンジシダ,,,,,0.5,2025/08/19,
21,,ヤヤカマド,,,,,0.1,2025/08/19,
22,B2,アオダモ,0,5,0.1,0.1,1,2025/08/19,
22,B2,イタヤカエデ,0,0.5,0.2,0.1,0.1,2025/08/19,
22,B2,ウリハダカエデ,0,3,2,5,1.5,2025/08/19,
22,B2,ウワミズザクラ,0,0,0,0.1,,2025/08/19,
22,B2,オオカメノキ,6,25,8,15,14,2025/08/19,
22,B2,オオバクロモジ,4,6,4,6,2,2025/08/19,
22,B2,コシアブラ,0,0.5,1,0.1,1.5,2025/08/19,
22,B2,コマユミ,4,0,0,0,,2025/08/19,
22,B2,ツノハシバミ,0.5,0.5,0.5,2,2,2025/08/19,
22,B2,トチノキ,0,0,0,0.1,,2025/08/19,
22,B2,ナナカマド,0,1,0,1,1,2025/08/19,
22,B2,ノリウツギ,0,3,2,2,1,2025/08/19,
22,B2,ハイイヌガヤ,3,4,1,0.5,0.6,2025/08/19,
22,B2,ハウチワカエデ,0,5,4,3,,2025/08/19,
22,B2,ヒメアオキ,0,5,5,4,2,2025/08/19,
22,B2,ブナ,0,0,0,2,0.5,2025/08/19,
22,B2,ホオノキ,0.5,0,0,0,,2025/08/19,
22,B2,マユミ,4,0,0,0,,2025/08/19,
22,B2,ミズキ,4,0,0,0,,2025/08/19,
22,B2,ヤマモミジ,0,0,0.1,0,,2025/08/19,
22,C,コカンスゲ,5,0,0,0,,2025/08/19,
22,C,シラネワラビ,6,28,50,45,20,2025/08/19,
22,C,タチシオデ,0.5,0,0,0,,2025/08/19,
22,C,ツルアリドオシ,0.5,0,0,0,,2025/08/19,
22,C,ハイイヌツゲ,1,0,0,0,,2025/08/19,
22,C,ヒメモチ,3,0,0.5,0.5,2,2025/08/19,
22,C,ミヤマウズラ,0,0.5,0,0,,2025/08/19,
22,C,ミヤマカンスゲ,0,12,4,5,0.2,2025/08/19,
22,C,ミヤマシキミ,0,2,0,0,,2025/08/19,
22,C,ヤマソテツ,1,3,3,2,9,2025/08/19,
22,C,ユキザサ,0.5,0.5,0,0,,2025/08/19,
22,S,チシマザサ,9,60,25,15,12,2025/08/19,
22,,ヤマウルシ,,,,,0.5,2025/08/19,
22,,ツクバネソウ,,,,,0.3,2025/08/19,
22,,ツリバナ,,,,,0.5,2025/08/19,
23,B2,アオダモ,0,0.5,0.5,0.2,1,2025/08/19,
23,B2,イタヤカエデ,0,0.5,0,0.1,0.1,2025/08/19,
23,B2,ウリハダカエデ,0.5,0.5,2,1,1,2025/08/19,
23,B2,ウワミズザクラ,0,2,4,4,2,2025/08/19,
23,B2,オオカメノキ,5,10,5,5,7,2025/08/19,
23,B2,オオバクロモジ,3,3,1,6,4,2025/08/19,
23,B2,コシアブラ,0,0.5,1,5,2,2025/08/19,
23,B2,コマユミ,2,0,0,0,,2025/08/19,
23,B2,サワフタギ,4,6,0,5,3,2025/08/19,
23,B2,タカノツメ,0,0,0.1,0,,2025/08/19,
23,B2,トチノキ,0,1,0.5,0.1,0.5,2025/08/19,
23,B2,ナナカマド,0,0,0,0.3,,2025/08/19,
23,B2,ノリウツギ,0,0.5,1,2,0.5,2025/08/19,
23,B2,ハイイヌガヤ,1,2,0.2,1,0.5,2025/08/19,
23,B2,ハウチワカエデ,0,0.5,0.1,0.1,0.1,2025/08/19,
23,B2,ヒメアオキ,4,4,4,4,0.3,2025/08/19,
23,B2,ブナ,0,0,0.5,1,1,2025/08/19,
23,B2,ミズキ,3,0,0,0,,2025/08/19,
23,B2,ヤマウルシ,0,5,5,2,0.1,2025/08/19,
