サブプロット,階層,種名,DK1999,被度2006,被度2012,被度2018,被度2025,date2025,photo2025,memo,DK2006,id_note,X,X.1
11,C,ヤマソテツ,0,3,4,0.5,0.6,2025/08/21,,,0.5,308,,
11,C,ヤマドリゼンマイ,0,1,0.5,0.2,1.5,2025/08/21,,,3,309,,
11,S,チシマザサ,9,95,95,60,70,2025/08/21,,,1,310,,
,,ミヤマハンノキ,,,,,2,2025/08/21,,,,,,
,,ムラサキヤシオ,,,,,0.1,2025/08/21,00:10:56,,,,,
,,イワナシ,,,,,0.2,2025/08/21,00:10:55,,,,,
12,B2,オオカメノキ,0,0,0,1,,2025/08/21,,,9,315,,
12,B2,オオシラビソ,3,5,1,1.5,2,2025/08/21,,,,358,,
12,B2,オオバスノキ,0,3,2,1,0.1,2025/08/21,,,4,323,,
12,B2,オガラバナ,5,20,10,0.8,2.7,2025/08/21,,,3,324,,
12,B2,クロウスゴ,0,1,1,0.5,1,2025/08/21,,,6,325,,
12,B2,クロツリバナ,0,3,0.5,2,1.1,2025/08/21,,,1,326,,
12,B2,ダケカンバ,0,0.5,0.5,1.6,,2025/08/21,,,3,327,,
12,B2,ナナカマド,5,8,2,1.8,,2025/08/21,,,0.5,328,,
12,B2,ハリブキ,0.5,0.5,0.5,0.1,0.8,2025/08/21,,,4,329,,
12,B2,ミネカエデ,4,5,1,0.3,0.1,2025/08/21,,,0.5,330,,
12,B2,ムラサキヤシオツツジ,0,0,0,0.1,,2025/08/21,,,4,331,,
12,C,イワカガミ,0,0.5,0.1,0,,2025/08/21,,,,354,,
12,C,イワナシ,0,0,0,0.1,,2025/08/21,,,,353,,
12,C,エンレイソウ,0,0.5,0.1,0.6,0.3,2025/08/21,,,0.5,332,,
12,C,オオバショリマ,0,0.5,1,0.2,0.1,2025/08/21,,,0.5,333,,
12,C,キヌガサソウ,0,0,0,0.1,,2025/08/21,,,,357,,
12,C,コミヤマカタバミ,3,0.5,1,2,1.3,2025/08/21,,,0.5,334,,
12,C,ゴゼンタチバナ,0,0.5,0.1,0.1,0.7,2025/08/21,,,0.5,335,,
12,C,サンカヨウ,0,0,0.1,0,,2025/08/21,,,0.5,336,,
12,C,シノブカグマ,0,0.5,0.5,0.5,0.1,2025/08/21,,,,349,,
12,C,ショウジョウバカマ,1,1,0.5,1,0.3,2025/08/21,,,0.5,337,,
12,C,シラネワラビ,2,1,2,3,4.5,2025/08/21,,,1,338,,
12,C,タケシマラン,0,2,1,0.2,0.6,2025/08/21,,,1,339,,
12,C,チゴユリ,2,0,0,0,,2025/08/21,,,2,340,,
12,C,ツクバネソウ,0,0,0,0.2,0.1,2025/08/21,,,0,346,,
12,C,ツマトリソウ,0,0,0,0.2,0.1,2025/08/21,,,,356,,
12,C,ヒメゴヨウイチゴ,0,0.5,1,0.2,0.1,2025/08/21,,,,355,,
12,C,ヒロハユキザサ,0,0,0.1,0,,2025/08/21,,,0.5,341,,
12,C,マイヅルソウ,0.5,0.5,0.5,0.1,0.1,2025/08/21,,,,348,,
12,C,ミヤマカンスゲ,5,8,10,8,2.5,2025/08/21,,,0.5,342,,
12,C,ミヤマワラビ,0,0.5,0,0,,2025/08/21,,,4,343,,
12,C,ヤマソテツ,3,2,0.5,1,0.4,2025/08/21,,,0.5,344,,
12,C,ヤマドリゼンマイ,0,0,0,0.5,,2025/08/21,,,2,345,,
12,S,チシマザサ,9,95,90,90,90,2025/08/21,,,0,347,,
,,ヒメウスノキ,,,,,0.2,2025/08/21,,,,,,
,,ミズバショウ,,,,,0.2,2025/08/21,,,,,,
,,オオバタケシマラン,,,,,0.1,2025/08/21,,,,,,
,,ヤマイヌワラビ,,,,,0.1,2025/08/21,,,,,,
,,ヒメゴヨウイチゴ,,,,,0.1,2025/08/21,,,,,,
,,ミヤマハンノキ,,,,,0.1,2025/08/21,,,,,,
13,B2,ウラジロナナカマド,0,2,2,3,,2025/08/21,,,,351,,
13,B2,オオカメノキ,3,3,3,0,,2025/08/21,,,9,350,,
13,B2,オオシラビソ,4,4,2,0.7,0.6,2025/08/21,,,2,359,,
13,B2,オオバスノキ,1,2,4,1.1,0.4,2025/08/21,,,3,360,,
13,B2,オガラバナ,4,8,5,5,0.5,2025/08/21,,,3,361,,
13,B2,クロウスゴ,3,2,2,3,0.1,2025/08/21,,,2,362,,
13,B2,クロツリバナ,3,5,3,4,2,2025/08/21,,,4,363,,
13,B2,タカネナナカマド,2,0,0,0,,2025/08/21,,,2,364,,
13,B2,ダケカンバ,4,5,2,3,0.1,2025/08/21,,,4,365,,
13,B2,ナナカマド,0,3,8,0,1,2025/08/21,,,0,371,,
13,B2,ハリブキ,0,0.5,0,0.5,0.1,2025/08/21,,,4,366,,
13,B2,ヒメウスノキ,0,0,0.1,0.1,0.2,2025/08/21,,,3,367,,
13,B2,ミネカエデ,0,0,2,0,1.4,2025/08/21,,,0.5,368,,
13,B2,ミヤマハンノキ,0,2,0,0,,2025/08/21,,,,373,,
13,B2,ムラサキヤシオツツジ,0,0.5,0,0,,2025/08/21,,,,372,,
13,C,イヌワラビ,0,0.5,0,0,,2025/08/21,,,2,369,,
13,C,イワナシ,1,1,1,0,,2025/08/21,,,0.5,370,,
13,C,エンレイソウ,0,0.5,0.1,0,,2025/08/21,,,0.5,374,,
13,C,オオバショリマ,0,1,0.5,0.5,0.1,2025/08/21,,,1,375,,
13,C,オオバタケシマラン,0,0,0,1,,2025/08/21,,,0.5,377,,
13,C,オオバノヨツバムグラ,0,0.5,0,0,,2025/08/21,,,1,378,,
13,C,キヌガサソウ,2,2,0.5,1,0.3,2025/08/21,,,,399,,
13,C,コミヤマカタバミ,3,3,3,1.1,0.1,2025/08/21,,,0.5,376,,
13,C,ゴゼンタチバナ,0,2,1,0.7,0.1,2025/08/21,,,2,379,,
13,C,シノブカグマ,2,1,0.5,0,0.1,2025/08/21,,,2,380,,
13,C,ショウジョウバカマ,2,2,0.5,0.4,0.1,2025/08/21,,,3,381,,
13,C,シラネワラビ,4,6,5,5,4.1,2025/08/21,,,1,382,,
13,C,チゴユリ,1,0,0,0,0.1,2025/08/21,,,2,383,,
13,C,ツクバネソウ,0.5,0.5,0.1,0,0.2,2025/08/21,,,4,384,,
13,C,ツマトリソウ,0.5,0.5,0.1,0.2,,2025/08/21,,,0,393,,
13,C,ツルリンドウ,0.5,0,0,0,0.1,2025/08/21,,,0.5,385,,
13,C,ヒメゴヨウイチゴ,5,5,2,2,1.5,2025/08/21,,,0.5,386,,
13,C,ヒメタケシマラン,0,0.5,0.1,0.2,,2025/08/21,,,0,387,,
13,C,ヒメワラビ,0,0,1,0,,2025/08/21,,,4,388,,
13,C,マイヅルソウ,0,0,0,0.1,,2025/08/21,,,0.5,389,,
13,C,ミズバショウ,4,4,5,6,4.5,2025/08/21,,,,396,,
13,C,ミツバオウレン,0,0.5,0.1,0,,2025/08/21,,,,398,,
13,C,ミヤマアキノキリンソウ,0.5,0,0.1,0,0.1,2025/08/21,,,3,390,,
13,C,ミヤマカンスゲ,6,15,15,9,2,2025/08/21,,,0.5,391,,
13,C,ヤマソテツ,0,0,1,2.2,0.8,2025/08/21,,,0,394,,
13,S,チシマザサ,9,95,80,85,85,2025/08/21,,,5,392,,
,,タニギキョウ,,,,,0.1,2025/08/21,,,,,,
,,ヤマイヌワラビ,,,,,0.1,2025/08/21,,,,,,
,,ヒロハユキザサ,,,,,0.1,2025/08/21,,,,,,
14,B2,オオカメノキ,3,2,2,2.1,0.8,2025/08/21,,,,395,,
14,B2,オオシラビソ,4,5,3,2,4,2025/08/21,,,9,397,,
14,B2,オオバスノキ,5,10,10,3.3,1.4,2025/08/21,,,2,400,,
14,B2,クロウスゴ,1,0,0.5,0,0.1,2025/08/21,,,4,401,,
14,B2,ナナカマド,4,5,4,5,0.7,2025/08/21,,,5,402,,
14,B2,ハリブキ,0,0.5,0,0.2,,2025/08/21,,,0,403,,
14,B2,ヒメウスノキ,0,0.5,0.5,0,,2025/08/21,,,4,404,,
14,B2,ベニバナイチゴ,0,0.5,0,0,,2025/08/21,,,0.5,405,,
14,B2,ミネカエデ,4,6,5,1.1,1.4,2025/08/21,,,0.5,406,,
14,C,イヌワラビ,0,0.5,0,0,,2025/08/21,,,0.5,407,,
14,C,イワカガミ,0,0.5,0.5,0,0.3,2025/08/21,,,4,408,,
14,C,イワナシ,0,0.5,0.1,0,0.1,2025/08/21,,,0.5,409,,
14,C,エンレイソウ,0,0.5,0,0,0.1,2025/08/21,,,0.5,410,,
14,C,オオバショリマ,0,0.5,0.5,0.5,0.1,2025/08/21,,,0.5,412,,
14,C,オオバノヨツバムグラ,0,1,0,0,,2025/08/21,,,0.5,413,,
14,C,コミヤマカタバミ,0,5,0.5,0.2,0.1,2025/08/21,,,1,411,,
14,C,ゴゼンタチバナ,4,0,0.5,0.1,0.2,2025/08/21,,,0.5,414,,
14,C,サンカヨウ,0,0.5,0.1,0,,2025/08/21,,,0.5,415,,
14,C,シノブカグマ,2,0,1,0,,2025/08/21,,,0,434,,
14,C,ショウジョウバカマ,1,1,0.5,0.2,0.3,2025/08/21,,,4,416,,
14,C,シラネワラビ,0,0.5,0.5,0.1,0.1,2025/08/21,,,0.5,417,,
14,C,タニギキョウ,0,1,0,0,,2025/08/21,,,0,418,,
14,C,チゴユリ,0.5,0,0,0,0.1,2025/08/21,,,1,419,,
14,C,ツクバネソウ,0,1,0.1,0,,2025/08/21,,,0.5,420,,
14,C,ツマトリソウ,0,0.5,0.1,0,0.4,2025/08/21,,,1,421,,
14,C,ツルリンドウ,3,0,0.1,0,0.1,2025/08/21,,,0,435,,
14,C,ヒメゴヨウイチゴ,0,1,0.5,0.1,,2025/08/21,,,1,422,,
14,C,ヒメタケシマラン,0,1,0.1,0.1,,2025/08/21,,,0.5,423,,
14,C,ミズバショウ,2,2,3,2,2,2025/08/21,,,0,424,,
14,C,ミツバオウレン,0.5,0.5,0.1,0.2,,2025/08/21,,,1,425,,
14,C,ミヤマアキノキリンソウ,0,0,0,0.1,,2025/08/21,,,1,426,,
14,C,ミヤマカンスゲ,6,30,20,7,8,2025/08/21,,,2,427,,
14,C,ミヤマメシダ,0,2,1,0,,2025/08/21,,,0.5,428,,
14,C,ミヤマワラビ,0,0.5,0,0,,2025/08/21,,,,437,,
14,C,モミジカラマツ,0,1,0,0,,2025/08/21,,,6,429,,
14,C,ヤマソテツ,0,4,3,1.4,2.7,2025/08/21,,,2,430,,
14,C,ヤマトユキザサ,0,0.5,0.1,0,,2025/08/21,,,0.5,431,,
14,S,チシマザサ,9,95,95,83,80,2025/08/21,,,1,432,,
,,ヤマイヌワラビ,,,,,0.1,2025/08/21,,,,,,
,,ダケカンバ,,,,,0.1,2025/08/21,,,,,,
,,ユキザサ,,,,,0.1,2025/08/21,,,,,,
,,タケシマラン,,,,,0.1,2025/08/21,,,,,,
15,B2,オオカメノキ,0.5,0.5,0.1,0.1,,2025/08/21,,,3,433,,
15,B2,オオシラビソ,3,0,2,1.1,0.5,2025/08/21,,,9,436,,
15,B2,オオバスノキ,0,6,3,0.2,0.5,2025/08/21,,,0.5,438,,
15,B2,オガラバナ,0,0,0.5,0,0.5,2025/08/21,,,0,439,,
15,B2,クロウスゴ,1,0.5,0.1,0.3,0.1,2025/08/21,,,4,440,,
15,B2,クロツリバナ,0,1,0,0,0.1,2025/08/21,,,,446,,
15,B2,ナナカマド,0.5,0.5,0.5,0.5,0.1,2025/08/21,,,0.5,441,,
15,B2,ヒメウスノキ,0,0.5,0.1,0.4,0.3,2025/08/21,,,1,442,,
15,B2,ミネカエデ,5,10,8,6,5,2025/08/21,,,0.5,443,,
15,B2,ムラサキヤシオツツジ,0,0,0.1,0,,2025/08/21,,,0.5,444,,
15,C,イワカガミ,0,1,0.1,0.1,0.1,2025/08/21,,,5,445,,
15,C,イワナシ,0.5,0,0.1,0,0.2,2025/08/21,,,,447,,
15,C,エンレイソウ,0,0.5,0.1,0.3,0.3,2025/08/21,,,0,448,,
15,C,オオバショリマ,0,0.5,0.5,0.3,0.2,2025/08/21,,,0.5,449,,
15,C,ゴゼンタチバナ,4,2,0.2,0.4,0.6,2025/08/21,,,0.5,450,,
15,C,サンカヨウ,0,0,0.1,0,,2025/08/21,,,1,451,,
15,C,シノブカグマ,3,1,2,0.2,0.1,2025/08/21,,,2,452,,
15,C,ショウジョウバカマ,2,1,0.1,0.3,0.4,2025/08/21,,,,470,,
15,C,シラネワラビ,1,3,2,6.3,8.5,2025/08/21,,,1,453,,
15,C,タニギキョウ,0.5,0,0,0,,2025/08/21,,,1,454,,
15,C,チゴユリ,2,0,0,0,,2025/08/21,,,3,455,,
15,C,ツクバネソウ,0,0.5,0.1,0.1,0.2,2025/08/21,,,0,456,,
15,C,ツマトリソウ,0.5,0.5,0.1,0.1,0.1,2025/08/21,,,0,468,,
15,C,ツルリンドウ,0.5,1,0.1,0.1,0.4,2025/08/21,,,0.5,457,,
15,C,ヒメゴヨウイチゴ,0,0.5,0.5,0.2,1.1,2025/08/21,,,0.5,458,,
15,C,ヒメタケシマラン,0,2,0.1,0.3,,2025/08/21,,,1,459,,
15,C,ヒロハユキザサ,0,0.5,0.1,0,0.3,2025/08/21,,,0.5,460,,
15,C,マイヅルソウ,1,1,0.1,0.1,0.1,2025/08/21,,,2,461,,
15,C,ミズバショウ,3,3,1,2,2.8,2025/08/21,,,0.5,462,,
15,C,ミヤマカンスゲ,6,18,15,11,15,2025/08/21,,,1,463,,
15,C,ヤマソテツ,4,4,2.5,5,3.8,2025/08/21,,,3,464,,
15,S,チシマザサ,9,95,90,75,80,2025/08/21,,,5,465,,
,,タケシマラン,,,,,0.4,2025/08/21,,,,,,
16,B2,オオシラビソ,2,5,2,0.5,0.6,2025/08/20,,,3,466,,
16,B2,オオバスノキ,0,1,1,1.2,,2025/08/20,,,9,471,,
16,B2,オガラバナ,0,0,2,1,1.5,2025/08/20,,,4,472,,
16,B2,クロウスゴ,1,0,0.5,0,,2025/08/20,,,1,473,,
16,B2,クロツリバナ,2,0,1,1,2.7,2025/08/20,,,,480,,
16,B2,ダケカンバ,6,20,2,0,,2025/08/20,,,0,474,,
16,B2,ナナカマド,0,0,0,0.1,0.1,2025/08/20,,,0,475,,
16,B2,ハリブキ,0,0.5,0.1,0.5,2.3,2025/08/20,,,6,476,,
16,B2,ミネカエデ,4,8,5,1,3.1,2025/08/20,,,,519,,
16,B2,ミヤマハンノキ,3,0.5,1,1,,2025/08/20,,,0.5,477,,
16,C,イヌワラビ,0,1,0,0.3,,2025/08/20,,,4,478,,
16,C,エンレイソウ,0,0.5,0.5,0.7,0.7,2025/08/20,,,0.5,479,,
16,C,オオバタケシマラン,1,0,0,0.2,0.1,2025/08/20,,,1,481,,
16,C,オオバノヨツバムグラ,0,1,0.1,0.3,,2025/08/20,,,0.5,483,,
16,C,カニコウモリ,0,0,0.1,0.3,,2025/08/20,,,0,484,,
16,C,キヌガサソウ,0,0.5,0.5,0.1,,2025/08/20,,,1,482,,
16,C,コバイケイソウ,0,0.5,0.5,0.1,0.3,2025/08/20,,,,524,,
16,C,コミヤマカタバミ,0,5,5,7.3,2.6,2025/08/20,,,,516,,
16,C,ゴゼンタチバナ,0,0.5,0.1,0,,2025/08/20,,,0.5,485,,
16,C,ゴマナ,0,0.5,1,0.6,,2025/08/20,,,0.5,487,,
16,C,サカゲイノデ,0,0,0,1,3,2025/08/20,,,0.5,488,,
16,C,サンカヨウ,0,0.5,0.5,0.3,1.7,2025/08/20,,,0.5,489,,
16,C,シノブカグマ,0,0.5,1,0,0.1,2025/08/20,,,4,490,,
16,C,ショウジョウバカマ,0,0.5,0.1,0,0.1,2025/08/20,,,,522,,
16,C,シラネセンキュウ,0,0,1,0.2,0.1,2025/08/20,,,0.5,491,,
16,C,シラネワラビ,0,2,1,3,1,2025/08/20,,,0.5,492,,
16,C,タケシマラン,0,0,0.5,0.1,1.2,2025/08/20,,,0.5,493,,
16,C,タテヤマアザミ,0,0.5,0,0,,2025/08/20,,,,511,,
16,C,チゴユリ,0.5,0,0,0,,2025/08/20,,,2,494,,
16,C,ツクバネソウ,0,0,0.1,0.2,2.5,2025/08/20,,,,513,,
16,C,ツルリンドウ,0.5,0.5,0.1,0.1,,2025/08/20,,,0.5,495,,
16,C,ヒメゴヨウイチゴ,0,0,0.5,0.6,0.1,2025/08/20,,,0,507,,
16,C,ヒメタケシマラン,0,0.5,0,0.2,,2025/08/20,,,,515,,
16,C,ヒロハユキザサ,0,0.5,1,0.3,0.1,2025/08/20,,,0.5,496,,
16,C,マイヅルソウ,0.5,0.5,0.1,0.6,0.1,2025/08/20,,,,514,,
16,C,ミズバショウ,4,4,5,0.2,1,2025/08/20,,,0.5,497,,
16,C,ミツバオウレン,0,0.5,0.1,0,,2025/08/20,,,0.5,498,,
16,C,ミヤマアキノキリンソウ,1,0.5,0,0,,2025/08/20,,,0.5,499,,
16,C,ミヤマカンスゲ,5,15,15,10,8,2025/08/20,,,3,500,,
16,C,ミヤマシシウド,0,0,0.5,0.3,0.1,2025/08/20,,,0.5,501,,
16,C,ミヤマベニシダ,0,0,0.5,0,,2025/08/20,,,0.5,508,,
16,C,ミヤマメシダ,0,1,0.5,0,0.1,2025/08/20,,,5,502,,
16,C,メシダ,0.5,0,0,0,,2025/08/20,,,,510,,
16,C,モミジカラマツ,0,0.5,1,0,,2025/08/20,,,,512,,
16,C,ヤマソテツ,0,0.5,2,1,1.6,2025/08/20,,,1,503,,
16,C,ヤマトユキザサ,0,0,0,0.5,,2025/08/20,,,0,509,,
16,C,ヤマドリゼンマイ,1,1,2,1,2.6,2025/08/20,,,0.5,504,,
16,C,ヤマブキショウマ,0,0,1,0,0.3,2025/08/20,,,0.5,505,,
16,S,チシマザサ,9,95,95,80,80,2025/08/20,,,1,506,,
,,シラカンバ,,,,,0.1,2025/08/20,,,,,,
,,ヤマイヌワラビ,,,,,1.5,2025/08/20,,,,,,
,,ヤグルマソウ,,,,,0.5,2025/08/20,,,,,,
,,ハリブキ,,,,,2,2025/08/20,,,,,,
17,B2,オオシラビソ,4,6,5,1.3,3,2025/08/20,,,,517,,
17,B2,オオバスノキ,0,2,2,0,,2025/08/20,,,9,518,,
17,B2,オガラバナ,5,25,10,5,0.5,2025/08/20,,,4,525,,
17,B2,オノエヤナギ,0,3,0,1,,2025/08/20,,,2,526,,
17,B2,クロツリバナ,3,5,1,2.2,0.2,2025/08/20,,,6,527,,
17,B2,ダケカンバ,0,0,0,1.1,,2025/08/20,,,3,528,,
17,B2,ナナカマド,6,15,2,0,2,2025/08/20,,,4,529,,
17,B2,ハリブキ,1,1,1,1,0.9,2025/08/20,,,,560,,
17,B2,ミネカエデ,0,5,5,0,0.6,2025/08/20,,,5,530,,
17,B2,ミヤマハンノキ,4,5,5,1,,2025/08/20,,,1,531,,
17,C,イヌワラビ,0,0.5,0,1.2,,2025/08/20,,,4,532,,
17,C,エンレイソウ,0.5,0.5,0.1,0.6,0.1,2025/08/20,,,4,533,,
17,C,オオバノヨツバムグラ,1,1,0.1,0.2,0.1,2025/08/20,,,0.5,548,,
17,C,カニコウモリ,0.5,1,0.1,0,,2025/08/20,,,0.5,550,,
17,C,キヌガサソウ,0.5,0.5,0.5,0,,2025/08/20,,,1,545,,
17,C,コバイケイソウ,0.5,0.5,0,0.1,,2025/08/20,,,1,535,,
17,C,コミヤマカタバミ,4,5,0.1,3.1,2.2,2025/08/20,,,0.5,536,,
17,C,サンカヨウ,0.5,0.5,0.5,0.1,0.1,2025/08/20,,,0.5,551,,
17,C,シノブカグマ,0,0.5,0.5,0.1,,2025/08/20,,,0.5,537,,
17,C,ショウジョウバカマ,0,0,0,0.1,0.4,2025/08/20,,,4,538,,
17,C,シラネワラビ,4,3,3,3,6.5,2025/08/20,,,0.5,539,,
17,C,タニギキョウ,0,0,0,0.3,,2025/08/20,,,0.5,552,,
17,C,チゴユリ,3,0,0,0,0.2,2025/08/20,,,,564,,
17,C,ツクバネソウ,0.5,0.5,0.1,0.1,0.1,2025/08/20,,,3,540,,
17,C,ツルリンドウ,1,0,0,0,,2025/08/20,,,,562,,
17,C,ヒメゴヨウイチゴ,5,10,0.5,0.3,0.7,2025/08/20,,,0,546,,
17,C,ヒメタケシマラン,0,2,0.5,0.1,,2025/08/20,,,0.5,541,,
17,C,ヒメノガリヤス,2,2,4.5,0,,2025/08/20,,,0,542,,
17,C,フキ,0,0.5,0,2,,2025/08/20,,,5,543,,
17,C,マイヅルソウ,0,0,0,0.1,0.1,2025/08/20,,,2,553,,
17,C,ミヤマアキノキリンソウ,0,0.5,0,0,,2025/08/20,,,2,547,,
17,C,ミヤマカンスゲ,6,20,15,15,5.5,2025/08/20,,,0.5,554,,
17,C,ミヤマシシウド,0,0,0,0.1,,2025/08/20,,,,563,,
17,C,ミヤマベニシダ,0,0,0,0.1,,2025/08/20,,,6,544,,
17,C,ミヤマワラビ,0,0.5,0,0.1,1,2025/08/20,,,,559,,
17,C,ヤマソテツ,0,1,2,1,0.6,2025/08/20,,,,561,,
17,C,ヤマブキショウマ,0,0,0,1.6,,2025/08/20,,,0.5,555,,
17,S,チシマザサ,9,95,90,90,80,2025/08/20,,,1,556,,
,,オオバショリマ,,,,,0.5,2025/08/20,,,,,,
,,ヤマドリゼンマイ,,,,,0.1,2025/08/20,,,,,,
,,ミヤマセンキュウ,,,,,0.1,2025/08/20,,,,,,
,,ミズバショウ,,,,,0.1,2025/08/20,,,,,,
,,タケシマラン,,,,,0.6,2025/08/20,,,,,,
,,ヒメウスノキ,,,,,0.4,2025/08/20,,,,,,
,,クロウスゴ,,,,,0.3,2025/08/20,,,,,,
18,B2,アクシバ,0,0,0.5,0,,2025/08/20,,,,558,,
18,B2,ウラジロヨウラク,0,0,0.5,0,,2025/08/20,,,9,557,,
18,B2,オオカメノキ,0,1,0.5,0.5,,2025/08/20,,,,577,,
18,B2,オオシラビソ,3,5,25,6,5,2025/08/20,,,,578,,
18,B2,オオバスノキ,0,3,1,0,,2025/08/20,,,1,565,,
18,B2,オガラバナ,4,8,6,3,1,2025/08/20,,,4,566,,
18,B2,オノエヤナギ,0,6,0,0,,2025/08/20,,,3,567,,
18,B2,クロウスゴ,1,0.5,0.5,0.5,0.1,2025/08/20,,,4,568,,
18,B2,クロツリバナ,2,0,4,3,0.3,2025/08/20,,,4,569,,
18,B2,ダケカンバ,0,0,1,0,,2025/08/20,,,0.5,570,,
18,B2,ナナカマド,1,0,1,3,1,2025/08/20,,,0,571,,
18,B2,ハリブキ,0,0.5,0.5,0.5,0.1,2025/08/20,,,,579,,
18,B2,ヒメウスノキ,0,0.5,1,0.5,1.1,2025/08/20,,,0,572,,
18,B2,ベニバナイチゴ,0,3,0,0,0.1,2025/08/20,,,0.5,573,,
18,B2,ミネカエデ,4,4,5,5,0.1,2025/08/20,,,0.5,574,,
18,B2,ムラサキヤシオツツジ,0,0,0,0.3,,2025/08/20,,,3,575,,
18,C,イヌワラビ,0,0,0,0.1,,2025/08/20,,,3,576,,
18,C,イワカガミ,0,0,0.1,0.5,0.5,2025/08/20,,,,615,,
18,C,イワナシ,0,0,0.5,0.5,,2025/08/20,,,,616,,
18,C,エンレイソウ,0,0.5,0.5,0.1,0.4,2025/08/20,,,,608,,
18,C,オオバショリマ,0,2,0,0.7,0.52,2025/08/20,,,0.5,581,,
18,C,オオバノヨツバムグラ,1,2,0.1,0.2,0.2,2025/08/20,,,2,582,,
18,C,コミヤマカタバミ,2,4,3,1,6.6,2025/08/20,,,2,580,,
18,C,ゴゼンタチバナ,0.5,0.5,0.5,1,0.1,2025/08/20,,,,605,,
18,C,サンカヨウ,0.5,0.5,0,0,,2025/08/20,,,0.5,583,,
18,C,シノブカグマ,0,0,0,0.1,,2025/08/20,,,3,584,,
18,C,ショウジョウバカマ,0.5,0.5,0.1,0.3,0.4,2025/08/20,,,0.5,585,,
18,C,シラネセンキュウ,0,0,0.1,0,,2025/08/20,,,,613,,
18,C,シラネワラビ,4,8,8,5.3,8.6,2025/08/20,,,0.5,586,,
18,C,タニギキョウ,0,1,0,0.7,,2025/08/20,,,,610,,
18,C,チゴユリ,0.5,0,0,0,,2025/08/20,,,4,587,,
18,C,ツクバネソウ,1,0.5,0,0.2,0.1,2025/08/20,,,1,588,,
18,C,ハクモウイノデ,2,0,0,0,,2025/08/20,,,0,601,,
18,C,ヒメゴヨウイチゴ,4,6,1,0,0.8,2025/08/20,,,0.5,589,,
18,C,ヒメタケシマラン,0,0.5,0.1,0.2,,2025/08/20,,,0,602,,
18,C,ヒロハユキザサ,0,0,1,1,0.2,2025/08/20,,,4,590,,
18,C,マイヅルソウ,0,0,0.1,0.1,0.2,2025/08/20,,,0.5,591,,
18,C,ミズバショウ,1,1,1,3,2.5,2025/08/20,,,,609,,
18,C,ミヤマカンスゲ,5,12,10,15,5.5,2025/08/20,,,,606,,
18,C,ミヤマシシウド,0,0,0,0.1,,2025/08/20,,,1,592,,
18,C,ミヤマベニシダ,0,0,0,0.3,,2025/08/20,,,5,593,,
18,C,ミヤマメシダ,0,2,3,0,,2025/08/20,,,,614,,
18,C,ミヤマワラビ,0,0,1,0,0.1,2025/08/20,,,,612,,
18,C,メシダ,2,0,0,0,,2025/08/20,,,2,594,,
18,C,ヤグルマソウ,0,0.5,0,0.5,0.1,2025/08/20,,写真,,607,,
18,C,ヤマソテツ,4,4,4,2,0.1,2025/08/20,,,0,603,,
18,C,ヤマドリゼンマイ,0.5,0,2,2,3,2025/08/20,,,0.5,595,,
18,C,ヤマブキショウマ,0,0.5,0,0.5,,2025/08/20,,,3,596,,
18,S,チシマザサ,9,0,80,80,60,2025/08/20,,,0,604,,
,,タケシマラン,,,,,1.3,2025/08/20,,,,,,
,,ヤマイヌワラビ,,,,,0.6,2025/08/20,00:14:26,,,,,
,,サカゲイノデ,,,,,1,2025/08/20,,,,,,
,,ヤマイヌワラビ,,,,,0.3,2025/08/20,00:14:24,,,,,
,,オオバタケシマラン,,,,,0.2,2025/08/20,,,,,,
19,B2,オオシラビソ,0,0.5,0,0,,2025/08/20,,,0,597,,
19,B2,オガラバナ,3,4,1,2,0.3,2025/08/20,,,0.5,598,,
19,B2,クマイチゴ,0,0,0,0.5,,2025/08/20,,,0,611,,
19,B2,クロウスゴ,0.5,0.5,0.5,0.5,,2025/08/20,,,0.5,619,,
19,B2,クマイチゴ,0,0,0,0.5,0,2025/08/20,,,,,,
19,B2,クロウスゴ,0.5,0.5,0.5,0.5,,2025/08/20,,,,,,
19,B2,クロツリバナ,0,4,0,0,1.5,2025/08/20,,,3,620,,
19,B2,ナナカマド,0,0,0,0.5,1.1,2025/08/20,,,,651,,
19,B2,ハリブキ,0.5,0.5,0.1,0.5,0.6,2025/08/20,,,0.5,621,,
19,B2,ミネカエデ,5,8,5,6,1,2025/08/20,,,3,622,,
19,B2,ミヤマハンノキ,0,1,0,0,,2025/08/20,,,,649,,
19,C,イヌワラビ,0,2,0.5,0,,2025/08/20,,,0.5,623,,
19,C,エンレイソウ,0.5,0.5,0.5,0.5,0.5,2025/08/20,,,4,624,,
19,C,コミヤマカタバミ,3,8,3,2,4.1,2025/08/20,,,1,625,,
19,C,ゴゼンタチバナ,0,0.5,0,0,,2025/08/20,,,2,626,,
19,C,サンカヨウ,0.5,0.5,0.5,0.5,0.3,2025/08/20,,,0.5,627,,
19,C,シラネワラビ,3,4,3,6,4.2,2025/08/20,,,0.5,628,,
19,C,タテヤマアザミ,0,0.5,0,0,,2025/08/20,,,4,629,,
19,C,チゴユリ,1,0,0,0,,2025/08/20,,,0.5,630,,
19,C,ツクバネソウ,0.5,0,0,0.1,0.2,2025/08/20,,,3,631,,
19,C,ツマトリソウ,0,0,0,0.1,,2025/08/20,,,0.5,632,,
