サブプロット,階層,種名,DK1999,被度2006,被度2012,被度2018,,memo,,DK2006
16,C,コミヤマカタバミ,0,5,5,7.3,,,,4
16,C,サンカヨウ,0,0.5,0.5,0.3,,,,0.5
16,C,シノブカグマ,0,0.5,1,,,,,0.5
16,C,ショウジョウバカマ,0,0.5,0.1,,,,,0.5
16,C,シラネワラビ,0,2,1,3,,,,2
16,C,タテヤマアザミ,0,0.5,,,,,,0.5
16,C,ツルリンドウ,0.5,0.5,0.1,0.1,,,,0.5
16,C,ヒメタケシマラン,0,0.5,,0.2,,,,0.5
16,C,ヒロハユキザサ,0,0.5,1,0.3,,,,0.5
16,C,マイヅルソウ,0.5,0.5,0.1,0.6,,,,0.5
16,C,ミズバショウ,4,4,5,0.2,,,,3
16,C,ミツバオウレン,0,0.5,0.1,,,,,0.5
16,C,ミヤマカンスゲ,5,15,15,10,,,,5
16,C,ミヤマメシダ,0,1,0.5,,,,,1
16,C,モミジカラマツ,0,0.5,1,,,,,0.5
16,C,ヤマソテツ,0,0.5,2,1,,,,0.5
16,C,ヤマドリゼンマイ,1,1,2,1,,,,1
16,C,チゴユリ,0.5,0,,,,,,0
16,C,ミヤマアキノキリンソウ,1,0,,,,,,0
16,C,メシダ,0.5,0,,,,,,0
16,C,ミヤマシシウド,,,0.5,0.1,,,,
16,C,シラネセンキュウ,,,1,0.2,,,,
16,C,ミヤマベニシダ,,,0.5,,,,,
16,C,タケシマラン,,,0.5,0.1,,,,
16,C,ヒメゴヨウイチゴ,,,0.5,0.6,,,,
16,C,ツクバネソウ,,,0.1,0.2,,,,
16,C,カニコウモリ,,,0.1,0.3,,,,
16,C,ヤマブキショウマ,,,1,,,,,
16,S,チシマザサ,9,95,95,80,,,,9
,,ナナカマド,,,,0.1,,,,
,,ミヤマシシウド,,,,0.1,,,,
,,オオバノヨツバムグラ,,,,0.3,,,,
,,サカゲイノデ,,,,1,,,,
,,ミヤマシシウド,,,,0.1,,,,
,,オオバユキザサ,,,,0.5,,,,
17,B2,オオシラビソ,4,6,5,1.3,,,,4
17,B2,オオバスノキ,0,2,2,,,,,2
17,B2,オガラバナ,5,25,10,5,,,,6
17,B2,オノエヤナギ,0,3,,1,,,,3
17,B2,クロツリバナ,3,5,1,2.2,,,,4
17,B2,ナナカマド,6,15,2,,,,,5
17,B2,ハリブキ,1,1,1,1,,,,1
17,B2,ミネカエデ,0,5,5,,,,,4
17,B2,ミヤマハンノキ,4,5,5,1,,,,4
17,C,エンレイソウ,0.5,0,0.1,0.6,,,,0
17,C,カニコウモリ,0.5,1,0.1,,,,,1
17,C,キヌガサソウ,0.5,0.5,0.5,,,,,0.5
17,C,コバイケイソウ,0.5,0.5,,0.1,,,,0.5
17,C,コミヤマカタバミ,4,5,0.1,3.1,,,,4
17,C,サンカヨウ,0.5,0.5,0.5,0.1,,,,0.5
17,C,シラネワラビ,4,3,3,3,,,,3
17,C,ツクバネソウ,0.5,0.5,0.1,0.1,,,,0.5
17,C,ツルリンドウ,1,0,,,,,,0
17,C,ヒメゴヨウイチゴ,5,10,0.5,0.3,,,,5
17,C,ミヤマカンスゲ,6,20,15,15,,,,6
17,C,オオバノヨツバムグラ,1,0,0.1,0.2,,,,0
17,C,チゴユリ,3,0,,,,,,0
17,C,ヒメノガリヤス,2,2,4.5,,,,,2
17,C,イヌワラビ,0,0.5,,1.2,,,,0.5
17,C,オオバノヨツバムグラ,0,1,,,,,,1
17,C,エンレイソウ,0,0.5,,,,,,0.5
17,C,コガネギク,0,0.5,,,,,,0.5
17,C,シノブカグマ,0,0.5,0.5,0.1,,,,0.5
17,C,ヒメタケシマラン,0,2,0.5,0.1,,,,2
17,C,フキ,0,0.5,,2,,,,0.5
17,C,ミヤマワラビ,0,0.5,,0.1,,,,0.5
17,C,ヤマソテツ,0,1,2,1,,,,1
17,S,チシマザサ,9,95,90,90,,,,9
,,ヤマブキショウマ,,,,1.6,,,,
,,ミヤマシシウド,,,,0.1,,,,
,,ダケカンバ,,,,1.1,,,,
,,ミヤマベニシダ,,,,0.1,,,,
,,タニギキョウ,,,,0.3,,,,
,,マイヅルソウ,,,,0.1,,,,
,,ショウジョウバカマ,,,,0.1,,,,
18,B2,オオカメノキ,0,1,0.5,0.5,,,,1
18,B2,オオシラビソ,3,5,25,6,,,,4
18,B2,オオバスノキ,0,3,1,,,,,3
18,B2,オガラバナ,4,8,6,3,,,,4
18,B2,オノエヤナギ,0,6,,,,,,4
18,B2,クロウスゴ,1,0.5,0.5,0.5,,,,0.5
18,B2,クロツリバナ,2,0,4,3,,,,0
18,B2,ナナカマド,1,0,1,3,,,,0
18,B2,ハリブキ,0,0.5,0.5,0.5,,,,0.5
18,B2,ヒメウスノキ,0,0.5,1,0.5,,,,0.5
18,B2,ベニバナイチゴ,0,3,,.,,,,3
18,B2,ミネカエデ,4,4,5,5,,,,3
18,B2,アクシバ,,,0.5,,,,,
18,B2,ウラジロヨウラク,,,0.5,,,,,
18,B2,ダケカンバ,,,1,,,,,
18,C,オオバノヨツバムグラ,0,2,0.1,0.2,,,,2
18,C,エンレイソウ,0,0.5,0.5,0.1,,,,0.5
18,C,オオバショリマ,0,2,,0.7,,,,2
18,C,ゴゼンタチバナ,0,0.5,0.5,0.5,,,,0.5
18,C,コミヤマカタバミ,2,4,3,1,,,,3
18,C,サンカヨウ,0.5,0.5,,,,,,0.5
18,C,ショウジョウバカマ,0.5,0.5,0.1,0.3,,,,0.5
18,C,シラネワラビ,4,8,8,5,,,,4
18,C,タニギキョウ,0,1,,0.7,,,,1
18,C,ツクバネソウ,1,0.5,,0.2,,,,0.5
18,C,ヒメゴヨウイチゴ,4,6,1,..5,,,,4
18,C,ヒメタケシマラン,0,0.5,0.1,0.2,,,,0.5
18,C,ミズバショウ,1,1,1,3,,,,1
18,C,ミヤマカンスゲ,5,12,10,15,,,,5
18,C,ミヤマメシダ,0,2,3,,,,,2
18,C,ヤグルマソウ,0,0.5,,0.5,,,,0.5
18,C,ヤマソテツ,0,4,4,2,,,,3
18,C,ヤマドリゼンマイ,0.5,0,2,2,,,,0
18,C,ヤマブキショウマ,0,0.5,,0.5,,,,0.5
18,C,オオバノヨツバムグラ,1,0,,,,,,0
18,C,ゴゼンタチバナ,0.5,0,,0.5,,,,0
18,C,チゴユリ,0.5,0,,,,,,0
18,C,ハクモウイノデ,2,0,,,,,,0
18,C,メシダ,2,0,,,,,,0
18,C,ヤマソテツ,4,0,,,,,,0
18,C,コイワカガミ,,,0.1,0.5,,,,
18,C,マイヅルソウ,,,0.1,0.1,,,,
18,C,ミヤマワラビ,,,1,,,写真,,
18,C,イワナシ,,,0.5,0.5,,,,
18,C,ヒロハユキザサ,,,1,1,,,,
18,C,シラネセンキュウ,,,0.1,,,,,
18,S,チシマザサ,9,0,80,80,,,,0
,,ミヤマベニシダ,,,,0.3,,,,
,,シノブカグマ,,,,0.1,,,,
,,ミヤマシシウド,,,,0.1,,,,
,,ムラサキヤシオツツジ,,,,0.3,,,,
,,イヌワラビ,,,,0.1,,,,
,,シラネワラビ,,,,0.3,,,,
19,B1,オガラバナ,3,5,8,10,,,,4
19,B2,オオシラビソ,0,0.5,0,,,,,0.5
19,B2,オガラバナ,3,4,1,2,,,,3
19,B2,クロウスゴ,0.5,0.5,0.5,0.5,,,,0.5
19,B2,クロツリバナ,0,4,0,,,,,3
19,B2,ハリブキ,0.5,0.5,0.1,0.5,,,,0.5
19,B2,ミネカエデ,5,8,5,6,,,,4
19,B2,ミヤマハンノキ,0,1,0,,,,,1
19,C,イヌワラビ,0,2,0.5,,,,,2
19,C,エンレイソウ,0.5,0.5,0.5,0.5,,,,0.5
19,C,ゴゼンタチバナ,0,0.5,0,,,,,0.5
19,C,コミヤマカタバミ,3,8,3,2,,,,4
19,C,サンカヨウ,0.5,0.5,0.5,0.5,,,,0.5
19,C,シラネワラビ,3,4,3,6,,,,3
19,C,タテヤマアザミ,0,0.5,0,,,,,0.5
19,C,ツクバネソウ,0.5,0,0,0.1,,,,0
19,C,ヒメゴヨウイチゴ,4,3,2,2,,,,3
19,C,ヒメタケシマラン,0,0.5,0.5,0.5,,,,0.5
19,C,ミズバショウ,3,2,0,3,,,,2
19,C,ミツバオウレン,0.5,0.5,0,,,,,0.5
19,C,ミヤマカンスゲ,6,20,5,10,,,,6
19,C,ミヤマメシダ,0,0.5,0,0.5,,,,0.5
19,C,ミヤマワラビ,0,1,0.5,1,,,,1
19,C,ヤマソテツ,4,3,0.5,2,,,,3
19,C,ヤマドリゼンマイ,0.5,0.5,0.5,0.5,,,,0.5
19,C,チゴユリ,1,0,0,,,,,0
19,C,ミヤマアキノキリンソウ,0.5,0,0,,,,,0
19,C,マイヅルソウ,,,0.1,0.1,,,,
19,C,ミヤマイタチシダ,,,0.5,1,,,,
19,C,ヤマブキショウマ,,,0.5,,,,,
19,S,チシマザサ,9,100,90,90,,,,10
,,ナナカマド,,,,0.5,,,,
,,ツマトリソウ,,,,0.1,,,,
,,クマイチゴ,,,,0.5,,,,
20,B2,オオカメノキ,0,3,1,1,中島さん,,,3
20,B2,オオシラビソ,4,5,3,3,,,,4
20,B2,オオバスノキ,0,4,1,1,,,,3
20,B2,オガラバナ,5,12,8,5,,,,5
20,B2,クロウスゴ,4,5,0.5,0.5,,,,4
20,B2,ダケカンバ,4,6,3,2,,,,4
20,B2,ナナカマド,3,4,0.5,0.5,,,,3
20,B2,ハリブキ,0.5,0.5,0.5,0.1,,,,0.5
20,B2,ミネカエデ,0,3,3,3,,,,3
20,B2,ミヤマハンノキ,0,15,5,2,,,,5
20,C,イヌワラビ,0,0.5,0.1,,,,,0.5
20,C,エンレイソウ,0,0.5,0.1,0.1,,,,0.5
20,C,オオバショリマ,0,0.5,0,0.1,,,,0.5
20,C,カニコウモリ,0,0.5,0,,,,,0.5
20,C,コイワカガミ,1,0,0,0.2,,,,0
20,C,コガネギク,0,1,0,,,,,1
20,C,ゴゼンタチバナ,0,0.5,0.5,0.5,,,,0.5
20,C,コミヤマカタバミ,3,3,2,1,,,,3
20,C,シラネワラビ,0.5,3,2,3,,,,3
20,C,タテヤマアザミ,0,0.5,0,,,,,0.5
20,C,ツクバネソウ,1,1,0.1,0.2,,,,1
20,C,ヒメゴヨウイチゴ,5,10,1,0.3,,,,5
20,C,ヒロハユキザサ,0,0.5,0.5,0.2,,,,0.5
20,C,マイヅルソウ,4,3,0,0.1,,,,3
20,C,ミヤマカンスゲ,6,18,3,4,,,,5
20,C,ミヤマワラビ,1,0.5,0,,,,,0.5
20,C,ヤマブキショウマ,0,0.5,0,0.1,,,,0.5
20,C,ゴゼンタチバナ,0.5,0,0.5,,,,,0
20,C,チゴユリ,2,0,0.1,0.1,,,,0
20,C,ミヤマアキノキリンソウ,0.5,0,0.1,,,,,0
20,C,ヤマソテツ,4,0,2,1,,,,0
20,C,ユキザサ,0.5,0,0.1,0.1,,,,0
20,C,イワカガミ,,,1,,,,,
20,C,シノブカグマ,,,0.5,0.3,,,,
20,C,オオバノヨツバムグラ,,,0.1,,,,,
20,C,ヤマドリゼンマイ,,,0.5,0.2,,,,
20,S,チシマザサ,9,100,90,85,,,,10
,,タケシマラン,,,,0.1,,,,
,,ミヤマセンキュウ,,,,0.1,,,,
,,モミジカラマツ,,,,0.85,,,,
,,シノブカグマ,,,,1,,,,
,,ツマトリソウ,,,,0.2,,,,
,,ヒメウスノキ,,,,0.2,,,,
,,ミズバショウ,,,,1,,,,
,,クロツリバナ,,,,0.5,,,,
,,コメススキ,,,,0.1,,,,
21,B2,オオカメノキ,0,0.5,5.5,0.5,,,,0.5
21,B2,オオシラビソ,0.5,1,2,2,,,,1
21,B2,オノエヤナギ,5,10,5,8,,,,5
21,B2,クマイチゴ,0,0.5,0,,,,,0.5
21,B2,ダケカンバ,4,5,3,5,,,,4
21,B2,ナナカマド,6,10,10,5,,,,5
21,B2,バッコヤナギ,0,10,10,,,,,5
21,B2,ミネカエデ,0.5,2,1,1,,,,2
21,B2,ミヤマハンノキ,5,2,3,1,,,,2
21,B2,オガラバナ,,,1,,,,,
21,C,エンレイソウ,0.5,0.5,0.5,0.58,,,,0.5
21,C,オオイタドリ,5,0,2,8,,,,0
21,C,コガネギク,0,1,0,,,,,1
21,C,ゴマナ,0,15,5,5,,,,5
21,C,サンカヨウ,0.5,0,0.5,,,,,0
21,C,ショウジョウバカマ,1,0,0,,,,,0
21,C,シラネワラビ,4,1,1,2,,,,1
21,C,タテヤマアザミ,4,10,8,,,,,5
21,C,ツクバネソウ,0.5,0,0,,,,,0
21,C,ツマトリソウ,0.5,0,0,,,,,0
21,C,ヒメゴヨウイチゴ,2,2,2,2,,,,2
21,C,ヒメタケシマラン,0,2,0.5,,,,,2
21,C,フキ,0.5,5,4,8,,,,4
21,C,マイヅルソウ,4,0.5,0.5,,,,,0.5
21,C,ミヤマカンスゲ,5,15,5,,,,,5
21,C,ミヤマシシウド,1,8,6,8,,,,4
21,C,ミヤマワラビ,0.5,0.5,1,,,,,0.5
21,C,ヤグルマソウ,0,0.5,1,2,,,,0.5
21,C,ヤマハハコ,0,0.5,0,,,,,0.5
21,C,ヤマブキショウマ,0,0.5,1,,,,,0.5
21,C,ヨモギ,5,5,0.1,3,,,,4
21,C,コゴメグサ,0.5,0,0,,,,,0
21,C,チゴユリ,2,0,0,,,,,0
21,C,ノコンギク,4,0,0,,,,,0
21,C,ユキザサ,0.5,0,0,,,,,0
21,C,ミヤマアキノキリンソウ,,,0.1,0.1,,,,
21,C,ヒゲノガリヤス,,,0.1,,,,,
21,C,オシダ,,,0.5,1,,,,
21,C,ミヤマメシダ,,,5,1,,,,
21,C,ミズバショウ,,,1,1,,,,
21,C,サカゲイノデ,,,0.5,,,,,
21,C,ヤマドリゼンマイ,,,0.5,1,,,,
,,イタドリ,,,,2,1,,,
,,イ,,,,0.1,2,,,
,,バッコヤナギ,,,,10,3,,,
,,イヌガンソク,,,,,4,,,
,,アカショウマ,,,,1,5,,,
,,マルバダケブキ,,,,1,6,,,
,,ミヤマカタバミ,,,,0.5,7,,,
,,クロトウヒレン,,,,1,9,,,
,,ベニバナイチゴ,,,,0.5,10,,,
,,ミヤマメシダ,,,,1,11,,,
,,シラネニンジン,,,,0.1,14,,,
21,S,チシマザサ,9,80,70,50,,,,9
22,B2,オガラバナ,4,3,1,1,,,,3
22,B2,オノエヤナギ,3,0,1,,,,,0
22,B2,クマイチゴ,0,0.5,0,,,,,0.5
22,B2,ダケカンバ,4,0,0.5,1,,,,0
22,B2,ナナカマド,4,4,3,2,,,,3
22,B2,バッコヤナギ,2,0,0,,,,,0
22,B2,ミヤマハンノキ,5,0,3,1,,,,0
22,B2,ミヤマハンノキ,0,4,3,,,,,3
22,B2,ベニバナイチゴ,,,2,3,,,,
22,B2,ミネカエデ,,,1,,,,,
22,B2,オオシラビソ,,,1,,,,,
22,C,イタドリ,3,0,0,1,,,,0
22,C,オオバノヨツバムグラ,0,0.5,0,,,,,0.5
22,C,エンレイソウ,0.5,0.5,0.5,0.5,,,,0.5
22,C,オオイタドリ,5,15,15,20,,,,5
22,C,オオバショリマ,0,1,0,,,,,1
22,C,オニシモツケ,0,5,3,4,,,,4
22,C,コウゾリナ,0.5,0,0,,,,,0
22,C,コガネギク,0,2,0,,,,,2
22,C,コミヤマカタバミ,1,2,2,3,,,,2
22,C,シモツケソウ,3,0,0,,,,,0
22,C,タテヤマアザミ,0,4,6,,,,,3
22,C,ヒゲノガリヤス,1,0,0,,,,,0
22,C,ヒメゴヨウイチゴ,2,0,0,3,,,,0
22,C,フキ,4,5,3,3,,,,4
22,C,マイヅルソウ,0,0.5,0,,,,,0.5
22,C,ミヤマカンスゲ,5,15,3,3,,,,5
22,C,ミヤマメシダ,0,2,2,3,,,,2
22,C,ミヤマワラビ,1,1,1,,,,,1
22,C,ヤマハハコ,0.5,0.5,0,,,,,0.5
22,C,ヤマブキショウマ,0.5,0.5,1,,,,,0.5
22,C,ヨモギ,3,5,0,1,オオヨモギ,,,4
22,C,オオバノヨツバムグラ,0.5,0,0.1,,,,,0
22,C,タテヤマオウギ,3,0,0,,,,,0
22,C,チゴユリ,1,0,0,,,,,0
22,C,ノコンギク,4,0,0,,,,,0
22,C,ミヤマアキノキリンソウ,2,0,0.5,,,,,0
22,C,メシダ,1,0,0,,,,,0
22,C,ユキザサ,0.5,0,0,,,,,0
22,C,ミヤマシシウド,,,1,3,,,,
22,C,オシダ,,,0.5,,,,,
22,C,オオバコ,,,0.1,,,,,
22,C,ミヤマベニシダ,,,0.1,0.5,,,,
22,S,チシマザサ,9,80,80,70,,,,9
,,ゴマナ,,,,5,,,,
,,シラネワラビ,,,,1,,,,
,,アカショウマ,,,,2,,,,
,,サカゲイノデ,,,,0.5,,,,
23,B2,オオカメノキ,2,0.5,0,,,,,0.5
23,B2,オガラバナ,3,0,3,1,,,,0
23,B2,オノエヤナギ,3,0.5,0,,,,,0.5
23,B2,ダケカンバ,5,10,5,3,,,,5
23,B2,バッコヤナギ,0.5,0,0,,,,,0
23,B2,ベニバナイチゴ,4,10,0,8,,,,5
23,B2,ミヤマハンノキ,4,2,1,1,,,,2
23,B2,ミネカエデ,,,0.5,1,,,,
23,C,オオバノヨツバムグラ,0,0.5,0,,,,,0.5
23,C,エンレイソウ,0.5,0.5,0.4,0.5,,,,0.5
23,C,オオイタドリ,6,35,25,25,,,,7
23,C,オニシモツケ,0,10,0,2,,,,5
23,C,ゴマナ,0,4,0,5,,,,3
23,C,コミヤマカタバミ,3,4,3,3,,,,3
23,C,サンカヨウ,0.5,0.5,0,0.5,,,,0.5
23,C,シモツケソウ,0.5,2,0.5,,,,,2
23,C,タテヤマアザミ,5,20,5,3,,,,6
23,C,ヒゲノガリヤス,1,2,0,1,,,,2
23,C,ヒメゴヨウイチゴ,5,8,2,1,,,,4
23,C,ヒメタケシマラン,0,0.5,0.5,,,,,0.5
23,C,フキ,4,10,5,7,,,,5
23,C,ミヤマカンスゲ,5,10,15,20,,,,5
23,C,ミヤマシシウド,0,0.5,0.5,6,,photo,,0.5
23,C,ミヤマメシダ,0,2,1,2,,photo,,2
23,C,ミヤマワラビ,0,1,0.5,0.5,,photo,,1
23,C,ヤマハハコ,0.5,0,0,0.5,,,,0
23,C,ヤマブキショウマ,0.5,0.5,0.5,,,photo,,0.5
23,C,ヨモギ,3,5,0,2,,,,4
23,C,キオン,0.5,0,0,,,,,0
23,C,タテヤマオウギ,2,0,0,,,,,0
23,C,チゴユリ,2,0,0,0.5,,,,0
23,C,ノコンギク,4,0,0,,,,,0
23,C,メシダ,2,0,0,,,,,0
23,C,ユキザサ,0.5,0,0,2,,,,0
23,C,ウラジロタデ,,,0.1,,,,,
23,C,サカゲイノデ,,,0.5,0.1,,,,
23,C,スギナ,,,0.1,0.1,,,,
23,C,ヤマソテツ,,,0.5,0.5,,,,
23,C,ヤグルマソウ,,,0.1,,,0.1na,,
23,C,オオシラビソ,,,0.1,,,,,
23,C,ミヤマイタチシダ,,,0.5,0.1,,photo,,
23,S,チシマザサ,9,30,60,70,,,,6
,,アカショウマ,,,,1,,,,
,,マルバダケブキ,,,,0.5,,,,
,,シラネニンジン,,,,0.5,,,,
24,B2,オオシラビソ,5,8,0,0.5,,,,4
24,B2,オガラバナ,3,0,0,,,,,0
24,B2,オノエヤナギ,5,10,8,6,,,,5
24,B2,クロツリバナ,2,2,3,2,,,,2
24,B2,ダケカンバ,5,5,0,1,,,,4
24,B2,ミヤマハンノキ,5,8,0.5,,,,,4
24,C,アキカラマツ,0,1,1,,,,,1
24,C,イタドリ,5,5,3,8,,,,4
24,C,エンレイソウ,0.5,0.5,0.1,0.5,,,,0.5
24,C,オオイタドリ,4,20,5,20,,,,6
24,C,コウゾリナ,4,0,0,,,,,0
24,C,コガネギク,0,1,0,,,,,1
24,C,ゴマナ,1,5,0,6,,,,4
24,C,コミヤマカタバミ,0.5,3,5,5,,,,3
24,C,シラネワラビ,1,0,0.5,,,,,0
24,C,タテヤマアザミ,3,10,5,4,,,,5
24,C,ツクバネソウ,0.5,0,0,,,,,0
24,C,ヒゲノガリヤス,3,3,0.5,,,,,3
24,C,ヒメゴヨウイチゴ,5,5,3,3,,,,4
24,C,ヒメタケシマラン,0,1,1,0.5,,,,1
24,C,フキ,4,10,2,2,,,,5
24,C,マイヅルソウ,1,0,0,0.1,,,,0
24,C,ミヤマカンスゲ,5,12,8,10,,,,5
24,C,ミヤマシシウド,1,0.5,0,8,,,,0.5
24,C,ミヤマワラビ,1,0,0.1,0.1,,,,0
24,C,ヤグルマソウ,0,2,2,0.5,,,,2
24,C,ヤマブキショウマ,0.5,1,0.5,,,,,1
24,C,ヨツバヒヨドリ,0.5,0.5,0,,,,,0.5
24,C,ヨモギ,5,4,0,3,,,,3
24,C,セイヨウタンポポ,2,0,0,,,,,0
24,C,タテヤマオウギ,3,0,0,,,,,0
24,C,チゴユリ,0.5,0,0,,,,,0
24,C,ノコンギク,4,0,0,,,,,0
24,C,ミヤマアキノキリンソウ,0.5,0,0.1,,,,,0
24,C,メシダ,0.5,0,0,,,,,0
24,C,オオハナウド,,,3,1,,,,
24,C,テガタチドリ,,,0.1,,,,,
24,C,ミヤマセンキュウ,,,0.1,,,photo,,
24,C,ヤマイヌワラビ,,,1,0.5,,photo,,
24,C,ユキザサ,,,0.1,,,,,
24,C,アカショウマ,,,0.1,1,,,,
24,C,ヒロハユキザサ,,,0.5,0.5,,photo,,
24,C,オオバショリマ,,,0.5,0.5,,,,
24,C,カニコウモリ,,,1,0.5,,photo,,
24,C,ミズバショウ,,,0.1,0.5,,photo,,
24,C,サンカヨウ,,,0.5,,,,,
24,C,スギナ,,,0.1,0.1,,,,
24,S,チシマザサ,9,90,85,90,,,,9
,,バッコヤナギ,,,,1,,,,
,,シノブカグマ,,,,0.5,,,,
,,アイイタドリ,,,,0.1,,,,
,,コメススキ,,,,0.1,,,,
,,ヤマソテツ,,,,0.5,,,,
,,ミヤマイタチシダ,,,,0.5,,,,
25,B2,オオシラビソ,7,30,18,20,,,,6
25,B2,オガラバナ,4,0,0,,,,,0
25,B2,オノエヤナギ,5,10,7,5,,,,5
25,B2,ダケカンバ,8,30,3,4,,,,6
25,B2,ナナカマド,0.5,5,6,7,,,,4
25,B2,バッコヤナギ,0,0.5,0.5,,,,,0.5
25,B2,ミネカエデ,0,8,5,3,,,,4
25,C,アキカラマツ,1,5,1,1,,,,4
25,C,イタドリ,4,0,0.5,12,,,,0
25,C,オオイタドリ,0,15,12,20,,,,5
25,C,オオバショリマ,0,5,2,,,,,4
25,C,コウゾリナ,0,0.5,0,,,,,0.5
25,C,ゴゼンタチバナ,0,0.5,0,,,,,0.5
25,C,コミヤマカタバミ,0,4,4,5,,,,3
25,C,タテヤマアザミ,3,10,5,4,,,,5
25,C,ヒメタケシマラン,0,1,0.5,0.5,,,,1
25,C,ヒロハユキザサ,0,1,0.5,0.5,,,,1
25,C,フキ,3,5,5,8,,,,4
25,C,マイヅルソウ,1,0,3,6,,,,0
25,C,ミヤマカンスゲ,8,60,40,70,,,,8
25,C,ミヤマシシウド,1,0,4,5,,,,0
25,C,ミヤマワラビ,0,1,0.1,0.5,,,,1
25,C,モミジカラマツ,5,8,10,10,,,,4
25,C,ヤマドリゼンマイ,1,0,0,1,,,,0
25,C,ヤマブキショウマ,0.5,4,0.1,,,,,3
25,C,ヨツバヒヨドリ,3,2,2,,,,,2
25,C,ヨモギ,4,5,0,5,,,,4
25,C,オシダ,0.5,0,0,,,,,0
25,C,ゴゼンタチバナ,0.5,0,0,,,,,0
25,C,チゴユリ,0.5,0,0.5,0.5,,,,0
25,C,ハクモウイノデ,0.5,0,0,,,,,0
25,C,ミヤマアキノキリンソウ,3,0,0,,,w,,0
25,C,ユキザサ,1,0,0,0.5,,,,0
25,C,ミヤマカタバミ,,,0.5,,,,,
25,C,アカショウマ,,,0.1,1,,,,
25,C,エンレイソウ,,,0.5,0.5,,,,
25,C,ヒメノガリヤス,,,0.1,,,,,
25,S,チシマザサ,7,0,70,30,,,,0
,,バッコヤナギ,,,,0.5,,,,
,,サカゲイノデ,,,,1,,,,
,,ミヤマメシダ,,,,0.5,,,,
,,ミヤマハンノキ,,,,,,,,
,,タテヤマアザミ,,,,0.5,,,,
,,シラネニンジン,,,,1,,,,
,,テガタチドリ,,,,0.1,,,,
